USA,Nuclear,35.3110,-93.2351
USA,Nuclear,40.6219,-80.4336
USA,Nuclear,41.2435,-88.2286
USA,Nuclear,34.7042,-87.1189
USA,Nuclear,33.9597,-78.0114
USA,Nuclear,42.0742,-89.2819
USA,Nuclear,38.7589,-91.7788
USA,Nuclear,38.4344,-76.4417
USA,Nuclear,35.0514,-81.0694
USA,Nuclear,40.1719,-88.8339
USA,Nuclear,46.4711,-119.3339
USA,Nuclear,32.2984,-97.7855
USA,Nuclear,40.3628,-95.6408
USA,Nuclear,41.5967,-83.0861
USA,Nuclear,35.2115,-120.8555
USA,Nuclear,41.9756,-86.5652
USA,Nuclear,41.3900,-88.2700
USA,Nuclear,42.1011,-91.7781
USA,Nuclear,31.9342,-82.3447
USA,Nuclear,41.9631,-83.2581
USA,Nuclear,32.0081,-91.0478
USA,Nuclear,34.4017,-80.1589
USA,Nuclear,35.6334,-78.9556
USA,Nuclear,41.2706,-73.9527
USA,Nuclear,41.2706,-73.9526
USA,Nuclear,43.5214,-76.4084
USA,Nuclear,31.2231,-85.1116
USA,Nuclear,41.2455,-88.6691
USA,Nuclear,40.2243,-75.5874
USA,Nuclear,35.4331,-80.9486
USA,Nuclear,41.3107,-72.1677
USA,Nuclear,45.3338,-93.8493
USA,Nuclear,43.5211,-76.4100
USA,Nuclear,38.0600,-77.7897
USA,Nuclear,34.7939,-82.8986
USA,Nuclear,39.8143,-74.2062
USA,Nuclear,39.4666,-75.5377
USA,Nuclear,39.4625,-75.5358
USA,Nuclear,42.3230,-86.3146
USA,Nuclear,33.3881,-112.8617
USA,Nuclear,39.7589,-76.2687
USA,Nuclear,41.8006,-81.1439
USA,Nuclear,41.9438,-70.5780
USA,Nuclear,44.2806,-87.5369
USA,Nuclear,44.6220,-92.6333
USA,Nuclear,41.7261,-90.3103
USA,Nuclear,43.2777,-77.3099
USA,Nuclear,30.7570,-91.3327
USA,Nuclear,42.8992,-70.8489
USA,Nuclear,35.2267,-85.0917
USA,Nuclear,28.7950,-96.0481
USA,Nuclear,27.3486,-80.2464
USA,Nuclear,37.1661,-76.6986
USA,Nuclear,41.0919,-76.1462
USA,Nuclear,40.1515,-76.7232
USA,Nuclear,25.4356,-80.3308
USA,Nuclear,34.2983,-81.3153
USA,Nuclear,33.1427,-81.7625
USA,Nuclear,29.9953,-90.4716
USA,Nuclear,35.6021,-84.7895
USA,Nuclear,38.2393,-95.6898
